,Unnamed: 0,original,duplicate
0,0,229805,"{229805: 95.17248622401658, 268334: 23.588702990104917, '224096': 21.741556544732735, 268863: 20.819707456868723, 44716: 18.71518758487633}"
1,1,229882,"{229882: 129.17467111034256, 227421: 30.09987508322131, 224899: 27.08867784027342, '227067': 26.345582932811254, 225786: 26.255672061194044}"
2,2,229903,"{229903: 225.20938954533725, 205745: 109.64231269724847, 159978: 83.12545274302668, '113135': 72.08636936070575, 295980: 67.23386508427079}"
3,3,229993,"{229993: 308.9041788078467, 272913: 302.6609212542828, 229612: 95.10999772011652, 129841: 87.49149443842241, '229612': 70.68026056075092}"
4,4,230004,"{230004: 153.15654790656822, '57248': 45.8341010844266, 79350: 43.11778724602411, 274984: 41.14521704415195, 122671: 39.460463905678836}"
5,5,230027,"{230027: 118.50055473325241, 111206: 32.27414837172403, 204578: 31.74369829375948, '204578': 30.634202924012325, 248670: 30.41132983561671}"
6,6,230045,"{230045: 223.86900881401525, '229916': 44.45634528144074, 229916: 42.70487098254762, 177714: 35.10375164318657, 233467: 33.71536416022752}"
7,7,230048,"{230048: 164.3501740423746, '225519': 82.69355728013517, 184475: 76.47799066354776, 258316: 69.09250746399366, 212020: 66.74635910395692}"
8,8,230294,"{230294: 75.33888466879861, 242300: 25.844760748363647, 41040: 24.516783751473763, '228717': 24.42325936081607, 164316: 24.280632101698863}"
9,9,230307,"{'76873': 64.58650605085253, 76873: 30.79987839939337, 106406: 21.734879401614357, 136476: 20.31209445026775, 273690: 18.027639774371796}"
10,10,230334,"{230334: 196.20766655602313, 271029: 62.58636799253124, 274197: 59.82804429807527, '219165': 59.64522739835331, 80362: 58.01020267351449}"
11,11,230423,"{230423: 171.4426191200834, 402476: 43.89023483670223, 213781: 43.10862463128883, '199499': 41.892858673959246, 119713: 41.13140427590401}"
12,12,230446,"{230446: 227.70367872727866, 113035: 57.359032478764824, 22678: 55.00723322409726, 225949: 53.82617945564549, '225867': 51.39443402433262}"
13,13,230854,"{'190740': 199.24171177387646, 135638: 30.963392616054303, 10317: 29.579063497757993, 403052: 28.748116802368415, 11385: 27.295014531195715}"
14,14,230865,"{230865: 123.47702078703448, 240405: 33.42040445449716, 104493: 32.46511593964738, 127437: 32.1975430320933, '223064': 31.960880986337173}"
15,15,230888,"{230888: 203.90835438143284, 320566: 46.70397518974177, 320567: 45.13732588857776, '150591': 44.63820765475559, 208022: 41.14830838239985}"
16,16,230940,"{230940: 61.35450810866307, 75812: 34.03117675128199, '230470': 29.06731896114237, 100663: 21.841763807176616, 256261: 20.913340197361503}"
17,17,231132,"{231132: 85.68348745990023, '200364': 24.23456039518107, 140250: 22.456781643269778, 71303: 22.305332569859587, 163132: 21.608174522074762}"
18,18,231137,"{231137: 141.3787319733057, 70886: 48.12567701524581, 110089: 39.97131088257272, 60717: 38.84363180624113, '110089': 38.79778737162574}"
19,19,231160,"{231160: 302.7704974004444, 182399: 210.2378841444376, 217761: 192.89745446249145, 185321: 189.7791950254548, '181215': 158.81827726529588}"
20,20,231215,"{231215: 133.33560050760224, 224360: 41.439841534312826, 266292: 32.11020206214836, 233467: 31.200771842221794, '224360': 30.062947132398023}"
21,21,231236,"{231236: 168.72080334510792, 192481: 36.443383611067844, 59311: 32.13712390114662, '71625': 31.360488406624516, 334739: 30.99853512084813}"
22,22,231254,"{231254: 104.5881586680539, 316963: 28.942685091292347, 37561: 28.852708043388112, 267038: 28.002058452368402, '228971': 27.888039182395932}"
23,23,231264,"{'223330': 181.01160540266085, 103056: 44.10113441421473, 91510: 40.43035981355486, 210568: 39.84480531505571, 30753: 39.51264025086389}"
24,24,231600,"{231600: 224.19178003980835, 23216: 94.63271810947985, 18830: 46.83171263275159, 206394: 45.34327392911215, '102766': 42.47539952008581}"
25,25,231638,"{231638: 158.53937170716551, 218574: 40.81176737403683, 261865: 36.069531135419304, 36716: 34.34542253973102, '157506': 33.97429761490988}"
26,26,231682,"{231682: 161.19684080932927, 176993: 37.82920707430728, 226832: 36.1740136920241, 67089: 35.994419247853415, '226989': 35.97526087167494}"
27,27,231794,"{231794: 325.7132475780706, 234613: 223.41065693599379, 184475: 148.22898946350034, 203461: 129.25160181725704, '203461': 122.42220757693798}"
28,28,231886,"{'230449': 260.21296721771864, 230449: 121.89360614862842, 244407: 103.50807953536602, 246609: 81.66203258298671, 95020: 74.43918278955849}"
29,29,232029,"{232029: 154.1036824635473, 232474: 47.438301772671394, 257846: 37.25896423489966, 277343: 36.62778015805634, '231352': 31.740846751615813}"
30,30,232080,"{232080: 93.5820723994619, '231352': 26.5462159268653, 75796: 21.37782014858385, 251021: 20.91883493404353, 36991: 20.149964508139117}"
31,31,232103,"{232103: 203.0993816130394, 232834: 116.28514170489, 232327: 94.37554940194379, 231669: 89.33368936106824, '231951': 88.82387850711314}"
32,32,232181,"{232181: 180.67558304977604, 127320: 63.923767932843035, 93030: 40.63038252568489, '226827': 40.12834708599677, 300669: 37.94673065102879}"
33,33,232183,"{'231951': 197.94802417256918, 232199: 114.87512478301187, 232448: 98.34757790753883, 232699: 96.41660677993012, 286333: 94.9595748132996}"
34,34,232199,"{232199: 240.7729449203551, 232183: 143.20326761679937, '232103': 110.10805178146134, 232448: 96.66952754435042, 232840: 92.19132711979668}"
35,35,232322,"{'230037': 325.4675431424565, 232666: 142.90053397628805, 355041: 138.71469820806337, 236991: 136.98452587984204, 85826: 128.73052561670067}"
