,Unnamed: 0,original,duplicate
0,0,229805,"{229805: 95.17248622401658, 268334: 23.588702990104917, 229782: 21.741556544732735, 268863: 20.819707456868723, 44716: 18.71518758487633, 145425: 18.660155764870193, 224355: 18.594310154824896, 151222: 17.811822601211848, '224096': 17.73372719693624, 229789: 17.722290625340328, 229713: 17.70650600397167, 226681: 17.64141565017428, 180594: 17.614086569364986, 251306: 17.41359085970375, 42347: 17.05920935844918, 645: 0.9889444898429048, 73835: 0.9878185079806765, 34010: 0.9865139312728473, 9329: 0.9859363624479623, 30950: 0.9853392166138734, 87: 0.9852197519265229, 68698: 0.9851497515148014, 38736: 0.9851076234500614, 500: 0.9850733491035059, 13898: 0.9849783924940647, 259: 0.9849466859298656, 2931: 0.9848983550168408, 14474: 0.9848913399916134, 63842: 0.9847155796952867, 370: 0.98470731682392}"
1,1,229882,"{229882: 129.17467111034256, 227421: 30.09987508322131, 224899: 27.08867784027342, 231014: 26.345582932811254, 225786: 26.255672061194044, 225859: 26.155953631666648, 230420: 26.059326995198113, 225208: 25.96356187541202, 17454: 25.93315702153073, 228120: 25.689617330152263, '222757': 25.64302762439302, 238988: 25.400993508367424, 109394: 25.307141221861144, 255461: 24.591973850761576, 61533: 24.497820173613732, 2716: 0.972656065927681, 30950: 0.9724673670062519, 111: 0.9704351784415728, 7055: 0.970079780556466, 259: 0.9698163614741321, 4456: 0.9696971208698859, 18827: 0.9695345805918953, 52477: 0.9690298429779505, 37674: 0.9689218973085614, 31300: 0.9687911190292778, 16734: 0.9686992827154854, 73835: 0.968690723438759, 73394: 0.9686160400763842, 9366: 0.9686000422371137, 1008: 0.9683471332496996}"
2,2,229903,"{229903: 225.20938954533725, 205745: 109.64231269724847, 159978: 83.12545274302668, 140271: 72.08636936070575, 295980: 67.23386508427079, 123769: 62.46696880463917, 138069: 57.84325152494609, '113135': 56.585853854290995, 294191: 51.24167767921021, 324845: 50.210427850107926, 359828: 49.140638259600664, 130614: 48.67587826718848, 90412: 48.3311902648226, 16901: 47.2301327028976, 32532: 47.2301327028976, 1: 0.9694923317542251, 88: 0.9603904791635488, 32447: 0.9567893359758528, 116: 0.9566234277312955, 80: 0.9561093989646744, 14846: 0.9560419463692579, 59: 0.9557296562919265, 29379: 0.9556352774534168, 1290: 0.9556275111392998, 267: 0.9554596779635587, 42: 0.9553954150261857, 90: 0.955281030456424, 581: 0.9552231165217143, 11555: 0.9546587791342974, 73394: 0.9541683512096354}"
3,3,229993,"{229993: 308.9041788078467, 272913: 302.6609212542828, 229612: 95.10999772011652, 129841: 87.49149443842241, 163324: 70.68026056075092, 62360: 66.52814219635114, 85116: 56.324938037921676, 230956: 56.04999408250632, 139745: 55.26260386277912, 229136: 55.05398365486236, 403872: 55.021016547491385, 7805: 54.22919618834108, 312570: 53.40907772918552, 216358: 51.829688636397805, 244757: 49.36389296614667, 2: 0.9636784491403045, 293: 0.950225270746442, '229612': 0.9500062728350178, 55: 0.9497417671557999, 1592: 0.9494248798783909, 47915: 0.9471984225108222, 561: 0.9469387963602347, 28552: 0.9469254336319367, 284: 0.9460006985653848, 32236: 0.9457447499619608, 56395: 0.9453716129654592, 212: 0.945349587916682, 6429: 0.9450807521438779, 84605: 0.9449869493243168, 9177: 0.9448137963600545}"
4,4,230004,"{230004: 153.15654790656822, 222863: 45.8341010844266, 79350: 43.11778724602411, 274984: 41.14521704415195, 122671: 39.460463905678836, 384965: 38.21336469634638, 17815: 36.467559257329135, 167738: 35.529416625830585, 23981: 34.65918008561347, 108480: 33.61520314248349, 115234: 33.396694816905566, 88441: 33.09953743769714, 53754: 32.03193524058918, 79481: 31.969104965169716, 208130: 31.925556881732916, 12201: 0.9734755394634128, 114: 0.9723124322093502, 50272: 0.9714821149906456, 53992: 0.970685016187378, 9130: 0.9705664046082145, '129548': 0.9705520365927516, 53123: 0.9704940164285412, 35917: 0.9702306001971099, 38736: 0.969648423978506, 9430: 0.969631937276148, 38332: 0.9693323255189709, 31275: 0.9692838287718819, 18461: 0.9692459395982851, 13769: 0.969192708847524, 59507: 0.9691783242302457}"
5,5,230027,"{230027: 118.50055473325241, 111206: 32.27414837172403, 204578: 31.74369829375948, 62229: 30.634202924012325, 248670: 30.41132983561671, 163739: 30.3173571244801, 12371: 29.91204801794114, 126538: 29.419053122096024, 48094: 29.14024704020428, 97806: 29.055994689058938, 53647: 28.99636168963668, 128951: 28.98162554161722, 330773: 28.62892505478708, 201714: 28.28661400714793, 231254: 28.091843706259258, 5: 0.9798893726729002, 87: 0.9665047538728546, 30950: 0.9663391463878523, 38736: 0.9654279114752184, 73835: 0.9649692030019691, 101: 0.9647387217156536, 267: 0.9646209896951534, 1584: 0.9642622235186644, 225: 0.9642219450163401, 1839: 0.9640053073410949, 55018: 0.9637464796079243, 416: 0.9634317889370743, 133: 0.9633571356372139, '204578': 0.9630105343590687, 29915: 0.9625911632464048}"
6,6,230045,"{230045: 223.86900881401525, 304188: 44.45634528144074, 229916: 42.70487098254762, 177714: 35.10375164318657, 233467: 33.71536416022752, 171778: 32.231004163683615, 322798: 32.08810582285976, 221378: 31.944957060807916, 108626: 30.69134233761792, 51437: 30.328678632444763, '229916': 30.251704038348183, 380553: 29.93566700650294, 397417: 29.571584153958085, 196679: 28.95056102019801, 310890: 28.786487670993417, 31808: 0.9641503967544165, 81419: 0.9626905849893415, 23430: 0.9607433111954652, 39025: 0.958910523779357, 60543: 0.9582299709696558, 45316: 0.958101904850998, 50418: 0.9575144990374526, 561: 0.9570816819146727, 32447: 0.9563247508393852, 5793: 0.9562056135017087, 5880: 0.9559887493893136, 3607: 0.9557803810299321, 67252: 0.9555714291454601, 3466: 0.9552895704083278, 20591: 0.9549355087876386}"
7,7,230048,"{230048: 164.3501740423746, 250804: 82.69355728013517, 184475: 76.47799066354776, '184475': 69.09250746399366, 212020: 66.74635910395692, 231794: 53.78283713374615, 196036: 53.75312974419018, 234613: 53.35061781543988, 203461: 48.0816181530857, 225519: 47.68457455703127, 179049: 47.66508955842184, 224019: 47.274381391489015, 175038: 43.641250345474276, 174846: 40.981121303118755, 198319: 38.260296132946195, 82260: 0.9821518698505157, 84234: 0.9793622209524504, 13273: 0.9791403031348512, 5539: 0.978930794733655, 23607: 0.9789221362747909, 2931: 0.978851696659567, 29559: 0.978557539190258, 34787: 0.978378272132975, 51983: 0.9780699204032456, 20153: 0.9778264747223034, 3241: 0.9777400610750148, 12203: 0.9776967844104009, 25751: 0.9776607708025594, 81188: 0.9776254460807815, 4490: 0.9774411967920699}"
8,8,230294,"{230294: 75.33888466879861, 242300: 25.844760748363647, 41040: 24.516783751473763, 43736: 24.42325936081607, 164316: 24.280632101698863, 44180: 24.23929483022619, 59585: 23.5953495446109, 38827: 23.297357310236137, 141560: 23.114477738937868, 66631: 22.90865302049594, 80984: 22.89115385816796, 82695: 22.86067879970276, 81435: 22.842182890872838, 42424: 22.82797070437422, 170673: 22.414513208222356, 68638: 0.9832146780364771, 30280: 0.9812602534579575, 1603: 0.9811608997735675, 72254: 0.9807651071075646, 34010: 0.9806719406448252, 645: 0.9800209904326218, 37569: 0.9799056337142497, 72675: 0.9797388623028851, 34518: 0.979691472509622, 33410: 0.9795366979238297, '228405': 0.9794732188815941, 73835: 0.9793969409465777, 1598: 0.9793612020490496, 41125: 0.979285925298102, 9329: 0.9790714102154945}"
9,9,230307,"{230307: 64.58650605085253, 76873: 30.79987839939337, 106406: 21.734879401614357, 136476: 20.31209445026775, 273690: 18.027639774371796, 67089: 17.95703020189444, 10932: 17.91194873270971, 67076: 17.851458293262624, 139029: 17.13135028630051, 161536: 16.75712026390071, 198595: 16.662591639741926, 152095: 16.62899333824143, 208833: 16.4566714573828, 52622: 16.450437386150735, 164114: 16.17582435069533, 50786: 0.9869628099197266, 30323: 0.9843833372178918, 61055: 0.9838258459034391, 15861: 0.9835566300823952, 42801: 0.9833875210529084, 32243: 0.9832410027543889, 77601: 0.9831868761944677, 23382: 0.9831608047169795, 74504: 0.9831553978635338, 3466: 0.983123169965721, 71538: 0.9830021302270929, '76873': 0.982716048807367, 24220: 0.9823589625406015, 56506: 0.982319114035249, 23793: 0.982215607673616}"
