,Unnamed: 0,original,duplicate
0,0,229805,"{645: 0.9889444898429048, 73835: 0.9878185079806765, 34010: 0.9865139312728473, 9329: 0.9859363624479623, 30950: 0.9853392166138734, 87: 0.9852197519265229, 68698: 0.9851497515148014, 38736: 0.9851076234500614, 500: 0.9850733491035059, 13898: 0.9849783924940647, '224096': 0.9849466859298656, 2931: 0.9848983550168408, 14474: 0.9848913399916134, 63842: 0.9847155796952867, 370: 0.98470731682392}"
1,1,229882,"{2716: 0.972656065927681, 30950: 0.9724673670062519, 111: 0.9704351784415728, 7055: 0.970079780556466, 259: 0.9698163614741321, 4456: 0.9696971208698859, 18827: 0.9695345805918953, 52477: 0.9690298429779505, 37674: 0.9689218973085614, 31300: 0.9687911190292778, 16734: 0.9686992827154854, '214092': 0.968690723438759, 73394: 0.9686160400763842, 9366: 0.9686000422371137, 1008: 0.9683471332496996}"
2,2,229903,"{1: 0.9694923317542251, 88: 0.9603904791635488, 32447: 0.9567893359758528, 116: 0.9566234277312955, 80: 0.9561093989646744, '113135': 0.9560419463692579, 59: 0.9557296562919265, 29379: 0.9556352774534168, 1290: 0.9556275111392998, 267: 0.9554596779635587, 42: 0.9553954150261857, 90: 0.955281030456424, 581: 0.9552231165217143, 11555: 0.9546587791342974, 73394: 0.9541683512096354}"
3,3,229993,"{2: 0.9636784491403045, 293: 0.950225270746442, 1067: 0.9500062728350178, 55: 0.9497417671557999, 1592: 0.9494248798783909, 47915: 0.9471984225108222, 561: 0.9469387963602347, 28552: 0.9469254336319367, 284: 0.9460006985653848, 32236: 0.9457447499619608, 56395: 0.9453716129654592, 212: 0.945349587916682, 6429: 0.9450807521438779, 84605: 0.9449869493243168, '229612': 0.9448137963600545}"
4,4,230004,"{12201: 0.9734755394634128, 114: 0.9723124322093502, 50272: 0.9714821149906456, 53992: 0.970685016187378, 9130: 0.9705664046082145, 47522: 0.9705520365927516, 53123: 0.9704940164285412, 35917: 0.9702306001971099, 38736: 0.969648423978506, 9430: 0.969631937276148, 38332: 0.9693323255189709, '206169': 0.9692838287718819, 18461: 0.9692459395982851, 13769: 0.969192708847524, 59507: 0.9691783242302457}"
5,5,230027,"{5: 0.9798893726729002, 87: 0.9665047538728546, 30950: 0.9663391463878523, 38736: 0.9654279114752184, 73835: 0.9649692030019691, 101: 0.9647387217156536, 267: 0.9646209896951534, 1584: 0.9642622235186644, 225: 0.9642219450163401, 1839: 0.9640053073410949, 55018: 0.9637464796079243, 416: 0.9634317889370743, '204578': 0.9633571356372139, 220: 0.9630105343590687, 29915: 0.9625911632464048}"
6,6,230045,"{31808: 0.9641503967544165, 81419: 0.9626905849893415, 23430: 0.9607433111954652, 39025: 0.958910523779357, 60543: 0.9582299709696558, 45316: 0.958101904850998, '229916': 0.9575144990374526, 561: 0.9570816819146727, 32447: 0.9563247508393852, 5793: 0.9562056135017087, 5880: 0.9559887493893136, 3607: 0.9557803810299321, 67252: 0.9555714291454601, 3466: 0.9552895704083278, 20591: 0.9549355087876386}"
7,7,230048,"{82260: 0.9821518698505157, 84234: 0.9793622209524504, '225519': 0.9791403031348512, 5539: 0.978930794733655, 23607: 0.9789221362747909, 2931: 0.978851696659567, 29559: 0.978557539190258, 34787: 0.978378272132975, 51983: 0.9780699204032456, 20153: 0.9778264747223034, 3241: 0.9777400610750148, 12203: 0.9776967844104009, 25751: 0.9776607708025594, 81188: 0.9776254460807815, 4490: 0.9774411967920699}"
8,8,230294,"{68638: 0.9832146780364771, '228405': 0.9812602534579575, 1603: 0.9811608997735675, 72254: 0.9807651071075646, 34010: 0.9806719406448252, 645: 0.9800209904326218, 37569: 0.9799056337142497, 72675: 0.9797388623028851, 34518: 0.979691472509622, 33410: 0.9795366979238297, 35629: 0.9794732188815941, 73835: 0.9793969409465777, 1598: 0.9793612020490496, 41125: 0.979285925298102, 9329: 0.9790714102154945}"
9,9,230307,"{50786: 0.9869628099197266, 30323: 0.9843833372178918, 61055: 0.9838258459034391, 15861: 0.9835566300823952, 42801: 0.9833875210529084, 32243: 0.9832410027543889, 77601: 0.9831868761944677, 23382: 0.9831608047169795, 74504: 0.9831553978635338, 3466: 0.983123169965721, 71538: 0.9830021302270929, 15733: 0.982716048807367, 24220: 0.9823589625406015, 56506: 0.982319114035249, '76873': 0.982215607673616}"
