,Unnamed: 0.1,Unnamed: 0,original,duplicate
0,0,0,229805,"{53871: 0.9946630366899645, '229404': 0.9924165593963099, 57526: 0.9918920868329245, 26978: 0.9918306988131496, 3582: 0.9915677974348441}"
1,1,1,229882,"{26895: 0.9862746591859161, 48420: 0.9843183679595306, '214092': 0.9837887065680179, 55478: 0.9836364340776971, 47477: 0.9835219739476094}"
2,2,2,229903,"{47251: 0.9878336705436424, 225: 0.9855393254518989, 541: 0.9848215822306806, '113135': 0.9841999257474925}"
3,3,3,229993,"{2: 0.9761809214555266, 40200: 0.9733833815940266, '229612': 0.9691410587609007, 918: 0.9686321890301428, 61694: 0.9675397510316681}"
4,4,4,230004,"{'87479': 0.9854103350228044, '206169': 0.9852782205620699, 4: 0.9845123943979812, 26308: 0.9841211513801185, 141: 0.9832998309575364}"
5,5,5,230027,"{5: 0.9884680103344669, '201714': 0.9837632088656046, 3089: 0.9844355301172508, 4950: 0.9840819171035771}"
6,6,6,230045,"{66350: 0.9793769490696753, 12508: 0.9792602419251698, '229916': 0.9788230461756373, 19657: 0.97806673088509, 27413: 0.9777800388766238}"
7,7,7,230048,"{'196036': 0.9900244500571376, 68875: 0.9899754543388434, 41784: 0.9897819770783849, 8761: 0.9896145921067664, 70393: 0.9894814661972633}"
8,8,8,230294,"{20406: 0.9921799697655811, 9563: 0.9919204030519994, '228405': 0.9912383383121557, '228717': 0.9907620506909355, 39807: 0.9906748361222635}"
9,9,9,230307,"{30950: 0.9932941111038642, 57659: 0.9929090448011453, '76873': 0.9923696978671799, 26068: 0.9923266279421443}"
10,10,10,230334,"{8: 0.9828649298211504, 48627: 0.9821006021390581, 78976: 0.9803969421786238, '219165': 0.9794806572430702, 2053: 0.9792428670956413}"
11,11,11,230423,"{36629: 0.9817434523802614, '199499': 0.980257734784397, 4188: 0.9804336180745669, 8: 0.9802225790614443}"
12,12,12,230446,"{3850: 0.9773563959506743, 47915: 0.9768855079445907, '225867': 0.9741694338510356, 34891: 0.9741625156713158, 51416: 0.9740091619878143}"
13,13,13,230854,"{15449: 0.9855896261440164, '190740': 0.9839008462043375, 7065: 0.9843994382521106, 48115: 0.9838362835190292}"
14,14,14,230865,"{75756: 0.9875320696419138, 5467: 0.9872172290087353, 74916: 0.9854220512055308, '194935': 0.9847012668029557, '223064': 0.984567027227408}"
15,15,15,230888,"{'150591': 0.9810370792451816, 275: 0.9818603203286848, 7211: 0.9812040449720508, 19601: 0.98045314670783}"
16,16,16,230940,"{'230470': 0.9937435909770596, 70196: 0.9930891498553717, 54927: 0.9930585084080276, 45736: 0.9925376035025912}"
17,17,17,231132,"{52426: 0.9931235288025645, 26777: 0.9929111844360857, '200364': 0.9927512025251811, 13980: 0.9926893109350913}"
18,18,18,231137,"{'110089': 0.9871773026911604, 39538: 0.9851433871339103, 33750: 0.9849232739081937, 56882: 0.9846080485940429, 17111: 0.9844324794509646}"
19,19,19,231160,"{'181215': 0.9713984600268039, 33507: 0.9747268051799367, 9458: 0.972855539634754, 17474: 0.9716835416590383}"
20,20,20,231215,"{59333: 0.9885978605972495, '224360': 0.9863624398554013, 9563: 0.9870094181605975, 8798: 0.98658505119092}"
21,21,21,231236,"{47926: 0.9846765028837241, '71625': 0.9810546989606673, 33148: 0.9816028018868053, 15664: 0.9810516439262479}"
22,22,22,231254,"{'228971': 0.9878378826051009, 4017: 0.9883812631096263, 127: 0.9872145111122416, 4024: 0.9870400636665071}"
23,23,23,231264,"{'223330': 0.9743720514675256, '226827': 0.9742919691056501, 5320: 0.9740603977589563, 12833: 0.9735982598885521, 76130: 0.9730992306176752}"
24,24,24,231600,"{2407: 0.9783905270092553, 266: 0.976598018537265, '102766': 0.9759746607293297, 12291: 0.9757093344414967}"
25,25,25,231638,"{33239: 0.9853050325902701, 5320: 0.9852249113459223, '157506': 0.9826503773550654, 60740: 0.9832307792634375}"
26,26,26,231682,"{'226832': 0.9858524353412569, 67649: 0.9842124283197354, 43248: 0.983990753280724, 19104: 0.9833575620849256, 60648: 0.9833441500683903}"
27,27,27,231794,"{'184475': 0.9786890107708844, 16901: 0.9785599185556298, '196036': 0.9779459394031458, 40219: 0.9777844807606799, 11066: 0.9762131127042452}"
28,28,28,231886,"{81912: 0.9789274600571457, 46958: 0.9778617783947696, '230449': 0.9746940315714442, 12061: 0.9751207143309013}"
29,29,29,232029,"{14909: 0.9888120486312024, 77157: 0.985552293935476, 4188: 0.9849802330350217, 16167: 0.9842673141775687, '231352': 0.9835598489987056}"
30,30,30,232080,"{77712: 0.9926020378621346, '231352': 0.9909569292581307, 25764: 0.9906509574275625, 28001: 0.990614474943225}"
31,31,31,232103,"{5765: 0.9821041323069168, '231951': 0.9796357525290919, 11450: 0.9813323380996679, 51403: 0.9799072938415798}"
32,32,32,232181,"{242: 0.9825128277708495, '231264': 0.9816265790207246, 45612: 0.980436566274516, '199973': 0.9794961853514195, 12: 0.9780587153725812}"
33,33,33,232183,"{'232103': 0.9815225500274628, 18453: 0.9798646358877913, 59886: 0.9797491924868402, 1710: 0.9792537623797358, 474: 0.9791748283277817}"
34,34,34,232199,"{70134: 0.9771010644641273, 72105: 0.9765287982786139, 34889: 0.9764570579735533, '231951': 0.9752581225764436, '232103': 0.9744598701615711}"
35,35,35,232322,"{2476: 0.9777627135034539, '230037': 0.9729779997968767, 39565: 0.9729611293896704, 13957: 0.9729002660127447}"
36,36,36,232327,"{182: 0.9791447957716208, '232199': 0.9788167959924066, '231951': 0.978280161659191, 1425: 0.9779873209027607, 13795: 0.9777617099072813}"
37,37,37,232426,"{5765: 0.984353658591599, 11332: 0.9843260159801681, '185509': 0.982796171472348, 591: 0.9827284691211383}"
38,38,38,232448,"{225: 0.9836262459242827, 103: 0.980393326374157, 41744: 0.97987445202614, 55945: 0.9781677537842192, '232327': 0.9779716005863347}"
39,39,39,232497,"{225: 0.9842516325888772, 11450: 0.9813968791267046, '95979': 0.9808441794857644, '72191': 0.9807576802474377, 5765: 0.9806192690729869}"
40,40,40,232590,"{'232448': 0.9821823232587562, 13985: 0.9819399666812704, 78868: 0.9818114304701466, '231951': 0.9812982877158336, 14846: 0.9806983210174974}"
41,41,41,232834,"{18: 0.97960647630215, '232448': 0.9782080134603787, 17474: 0.9781824019865504, 8: 0.9763767653425239, 19820: 0.9752159561817002}"
42,42,42,232847,"{53871: 0.9751671120965804, 21367: 0.9750857538515322, 14137: 0.9744885380406931, 50915: 0.9744300103205081, '232822': 0.9738677684153839}"
43,43,43,232854,"{15440: 0.9790161890413852, 81550: 0.9783625009815068, 74660: 0.9782703067781119, '232448': 0.9773024796089882, 30450: 0.9771415693056752}"
44,44,44,232858,"{7: 0.9760810541188276, '232707': 0.9748141587495206, 15440: 0.9742665343264252, 6041: 0.9741926379331436, 5765: 0.9740099416508925}"
45,45,45,232991,"{47783: 0.9759812767343081, '232847': 0.9735180801931581, 275: 0.9712329551519999, 22628: 0.9708534196607763, '232822': 0.970150653751427}"
46,46,46,233040,"{'213321': 0.9879319887708204, 26929: 0.9884253826497842, 13980: 0.9883989138951746, 5421: 0.9878718093981166}"
47,47,47,233073,"{'232746': 0.9943933932028005, 70890: 0.9941013038951473, 31896: 0.9937341518834742, 14633: 0.9933504290678398}"
