,Unnamed: 0,original,duplicate
0,0,647793,"{647793: 123.45419453764737, 296124: 53.228161530329295, 650458: 53.04662772715663, 628934: 52.91922123623804, 732935: 52.147426913807315, '636089': 51.484561667090254, 664980: 51.39774223336445, 655471: 51.13954151523107, 485978: 50.99516762321212, 648221: 50.80449133700388, 336762: 50.79667323962069, 259456: 50.77576042603504, 452251: 50.66009054549717, 319094: 50.3861813696179, 358047: 49.87767062186318}"
1,1,647874,"{647874: 125.37650803213629, 647677: 66.24256829869255, 492743: 65.14727417007643, 506498: 63.45354070124822, 477478: 63.21566489480813, 645020: 62.88271994315524, '628043': 62.354513218939815, 261908: 62.252390611068016, 359783: 62.23141297970536, 630152: 61.82538997377436, 329421: 61.80220160371381, 551989: 61.776280644167535, 248743: 61.771892885445986, 631860: 61.58168329079622, 457869: 61.536196387155975}"
2,2,647921,"{647921: 138.2071957687618, 645470: 60.87957603230502, 644923: 58.9984027010962, 407591: 57.03709946066048, 638422: 54.36634444664284, 309171: 53.11165366321696, '634159': 53.013565064691264, 362013: 51.34720150556202, 271430: 51.11994842801804, 406077: 51.094657997829884, 651106: 50.990521965253016, 357772: 50.74011451032435, 415754: 50.60130242212807, 573949: 50.4116145676152, 298487: 50.335898748719764}"
3,3,647943,"{647943: 146.4449701180958, 779877: 61.62261909435788, 612941: 59.01196459338558, 409307: 58.694653112274636, 418978: 57.357454343231275, 307267: 57.21641205689029, 434468: 56.956915651854544, 442306: 56.66148707446879, 442531: 56.632863526002, 252437: 56.450657521585086, 467418: 56.38251733186002, 557737: 56.36821828872843, 645536: 56.19297884400807, '391015': 56.19297884400807, 652773: 55.627064350941126}"
4,4,647963,"{647963: 118.63544239439737, 644979: 60.42131075151556, 644957: 55.54998779400632, 635583: 55.37037086921666, 636938: 53.878518809999264, 648777: 53.6640478091988, 451357: 52.71571472788799, 546036: 51.59910253760378, 576534: 51.29781556948375, 422593: 51.26309403620973, 635586: 51.26169959628318, '636121': 51.23517393186408, 647459: 51.19305306965043, 635815: 51.01965920342353, 483666: 50.92523154847517}"
5,5,647969,"{647969: 123.08324161381638, 314188: 48.46959536052138, 644193: 47.6359369670115, 647716: 47.60357969403352, 322460: 47.428343962188436, 650654: 47.34410655628421, 322803: 47.26310637153668, 237706: 46.89243257616954, 330401: 46.67992472309306, 458470: 46.407954812569514, 645133: 46.218399149114944, 306180: 46.14600184361224, 502338: 45.83241764255858, 640526: 45.80090534250734, '638386': 45.67646878668594}"
6,6,647992,"{647992: 66.29638232696351, '643881': 48.78067634442329, 667276: 48.58656054184804, 453625: 48.09775130078545, 246003: 47.98747460859515, 594831: 47.81269662106532, 401882: 47.41751075325281, 269204: 47.306353021180875, 594447: 46.77279574771948, 453788: 46.66210713816166, 444459: 46.159082401993054, 235709: 46.035172937051414, 438273: 45.89182892770788, 393533: 45.88445767774179, 445095: 45.67414235983491}"
7,7,647999,"{647999: 210.72035344200592, 246372: 60.15514488802088, 286022: 59.77577077072267, '645061': 58.830168926352854, 575260: 58.65047323144449, 626652: 58.03656739629341, 358179: 57.67175061184662, 213202: 57.12831465632155, 270530: 57.100601210899285, 306126: 56.58328906872254, 258985: 56.349305690300426, 525289: 56.34666983119455, 356944: 56.19844322291122, 561345: 55.946408036342696, 237704: 55.9146815383949}"
8,8,648042,"{'625776': 183.5283029682119, 497792: 71.88485248149492, 331362: 71.01666555438611, 383058: 67.62222878528031, 263280: 67.45625746205758, 493288: 66.72346792333663, 831143: 66.52184691059631, 284985: 66.20163444383653, 689697: 66.09599752781425, 807291: 65.98524963774156, 629744: 65.91953552267559, 454000: 65.84301355481482, 394697: 65.60332975325412, 583660: 65.59105677648353, 441510: 64.51762692377719}"
9,9,648189,"{648189: 343.7315281945108, 649411: 262.9422389608673, 647113: 259.3685669607715, 595690: 225.49916776055323, 558082: 222.80544781485813, 476492: 214.4505015005922, 581142: 209.00775667987037, 439736: 202.93668401948221, 550073: 197.90331900641294, 418826: 195.66992096058192, 444336: 194.43709774101956, '641305': 194.28126721644688, 430945: 192.72085664580146, 494333: 190.38944909565254, 533632: 189.0704098942682}"
10,10,648221,"{648221: 110.11017557836298, 542745: 60.45512405876223, 497025: 60.397453771740935, 635567: 59.5846185023134, 460150: 58.40740129268295, 601521: 58.05169451334835, 272115: 57.950616091545086, 479921: 57.7548882881412, 338967: 57.473790635295536, 611031: 57.33776317694049, 626302: 57.16072728819068, 569005: 57.13129097610502, '614741': 56.95905762216668, 659089: 56.63331623422282, 643868: 56.43545807349728}"
11,11,648237,"{648237: 142.39604450335298, 648247: 80.55866444262792, 648243: 69.13656267766075, 657319: 67.09835471859077, '634222': 63.0777986416834, 657325: 60.06092154670103, 564133: 56.47917370546904, 550419: 55.829512505039375, 459020: 54.50905127376827, 333053: 54.19368212689951, 394376: 53.77668853643168, 443453: 53.696496277242005, 450942: 53.3981329401923, 525180: 53.3981329401923, 610338: 53.3981329401923}"
12,12,648238,"{648238: 110.44215520184973, 631192: 63.49729632886987, '624235': 56.77474140070173, 608090: 53.88326326049335, 645216: 52.17648118443019, 592669: 51.091889277714884, 633524: 50.47018298562384, 581347: 49.186163699529075, 590070: 48.42889790228231, 594101: 48.35346026676656, 631187: 48.316783347366446, 606685: 47.76906211417248, 599787: 47.7374980792147, 646701: 47.19434525192999, 599215: 47.1509203667794}"
13,13,648279,"{648279: 119.33769363473215, 310429: 53.87386885400995, 663618: 53.26209938573857, 370520: 52.78746248320204, 258525: 52.68483951159336, 433536: 51.91081943312683, '619472': 51.709418522690456, 613625: 50.80772790721845, 501650: 50.63715264676222, 645521: 50.19892060379818, 502354: 50.0474451319098, 354981: 49.922065788937445, 505935: 49.79564589524377, 659548: 49.67194631996611, 645020: 49.32255284458684}"
14,14,648285,"{648285: 126.25230347295464, 476868: 58.63138417181848, 246760: 55.03970455935046, 596244: 55.00622819492576, 303444: 54.44053867023016, '643259': 53.998700927337154, 335598: 51.465479177601935, 252383: 51.03473964370533, 252384: 51.03473964370533, 645669: 50.51933351712432, 490318: 50.4220690460362, 597922: 50.41919725069485, 641241: 50.31626443720299, 644573: 50.23656648060131, 466436: 50.193090133444585}"
15,15,648352,"{648352: 142.3473170458876, 623965: 68.58838124724247, 338682: 64.122429907921, 259296: 64.06614777111469, 246080: 63.55265894507582, 713338: 63.51787775063276, '530094': 62.303171294511095, 543935: 62.014458768733284, 258493: 61.68903039808747, 307676: 61.41395459422174, 255299: 61.358687684965155, 548753: 61.349891235250404, 646481: 61.3488908697123, 352442: 60.97795846621305, 626960: 60.7568452817316}"
16,16,648497,"{648497: 87.37887683069998, 837579: 58.9903597966581, 613826: 56.48503914058545, 640823: 55.7881402279581, 259430: 55.16321322580802, 601989: 54.74245037636871, 653707: 53.800818990381146, 630666: 53.675852649426965, 354870: 53.32165287507867, 641882: 53.26461882167713, 594846: 52.84741691649986, '640823': 52.84741691649986, 612132: 52.66341101241573, 643868: 52.40782154965885, 871393: 52.2966365208705}"
17,17,648513,"{648513: 108.53865047663447, 294929: 64.12937155437554, 301602: 61.85274957222633, 562895: 60.69506465963578, 578886: 59.745955564538505, 597922: 59.544176790132596, 407969: 59.391454663536194, 351033: 59.293406097760986, 297115: 59.27709158624509, 633827: 59.241857075632176, 325595: 59.038570273952914, 300976: 59.02692773977743, '615513': 58.71689810116601, 276516: 58.48220835802479, 659089: 58.23805549612553}"
18,18,648602,"{648602: 144.6353539661974, 612241: 63.791598247256175, 628878: 63.26162221104586, 636461: 62.67102107981867, 628943: 61.27674570855626, 625016: 61.27219067019328, 641447: 60.896257062631754, 611990: 60.65475149616573, 651442: 60.571686376302324, 426333: 60.41830506732606, 647170: 59.82549587492278, 626092: 59.64982151354785, 595742: 59.34773051240055, 654295: 59.304743784976004, '640180': 59.25703530066204}"
19,19,648609,"{648609: 245.61139953093794, 657909: 63.65989320085949, '597325': 63.152730130031614, 439456: 62.22897081002859, 262090: 61.708772036406174, 449591: 61.00874201410861, 490431: 60.0658843433804, 427303: 59.813660404574314, 245800: 59.39220477433497, 429548: 59.37121760445101, 322554: 59.11046735805965, 401082: 58.760485253926, 235017: 58.4567431344679, 484580: 58.178467091119465, 252882: 57.938157781404485}"
20,20,648632,"{648632: 104.97219408292744, 577228: 50.38719015294696, 469489: 46.61884246830617, 412676: 46.258013412864294, 259172: 45.68784284438666, 300758: 45.37184437245247, 358087: 44.7727607287082, '428462': 44.57978844417747, 666921: 44.49079475466014, 308912: 44.32993227523613, 304339: 44.300728599400614, 440326: 44.18510497217473, 646196: 43.958896859445275, 645455: 43.84062052334672, 661887: 43.84062052334672}"
21,21,648682,"{648682: 145.41652831679016, 610177: 73.65509176044812, 586575: 65.00215114313232, 576537: 63.74866387099797, 663179: 63.72587277366452, 844728: 62.58705348587471, 643152: 62.42279503223925, 585513: 62.2951615860319, 426514: 61.69000992493664, 648958: 61.58092137356877, 598572: 61.095173984381155, 844731: 60.79799252405072, '616752': 60.661668025694375, 867049: 60.65690235132419, 568373: 59.9763615846548}"
22,22,648686,"{648686: 191.46695133431888, 666087: 72.31561199015668, 591011: 68.29742093669068, 307690: 68.16386376067955, 645599: 67.00088254749213, 656192: 66.86788547707341, 270714: 65.99408643200064, 644882: 65.72685379120166, 599309: 65.1948880402802, 274534: 65.18202243863362, 274535: 65.18202243863362, '647613': 65.1166838693291, 303329: 64.83840946307545, 329378: 64.78568741401854, 404783: 64.62028466927941}"
23,23,648692,"{648692: 127.86168482491411, 565085: 65.33879623189132, 374007: 63.538611539011704, 263773: 63.362866868907574, 409868: 63.283729095653236, 620735: 63.05262322366853, 230696: 62.57562202594707, 234821: 62.07920843535804, 569040: 61.99584774098445, 545445: 61.88871728574876, 419495: 61.48806203536849, 644586: 60.88280689997561, '580015': 60.75432128866253, 799868: 60.65617751384056, 421179: 60.57356139469965}"
24,24,648713,"{648713: 146.0042712149015, 648931: 84.45083870543185, 661516: 74.6566106670125, 652347: 71.37124408454761, 305842: 68.82196339706269, '643835': 68.54014327271783, 560207: 68.4427522965761, 550841: 67.64434018380324, 308002: 67.53028568460236, 629902: 67.11036883752467, 643835: 66.54602478786143, 606753: 66.49178460146732, 608610: 66.30194991197872, 607848: 66.2488494671341, 331434: 65.7396105811138}"
25,25,648714,"{648714: 104.86907715713163, 652013: 71.52115197070458, '632839': 68.88617713843318, 596468: 67.23480534100302, 590282: 65.05416305354088, 585130: 63.51312533783968, 582825: 62.48727100308, 583081: 60.64017186215593, 576654: 60.31944664197172, 640958: 59.79781306014824, 586893: 59.29900588923403, 584276: 58.76015482134888, 443668: 58.63320384379516, 650093: 57.39491880258415, 579265: 57.300268123759345}"
26,26,648763,"{648763: 88.62949969037038, 648767: 57.985892501104786, 648855: 53.91784647986196, 594441: 51.01435582756068, 644430: 50.86092085738731, '626261': 49.98063303025667, 624407: 48.86641737379694, 590488: 48.617860723217234, 595742: 48.29581460340409, 624149: 46.53966452673744, 593072: 46.32044271438255, 612002: 45.753098550025726, 582655: 45.544535476134975, 459556: 45.22780391086593, 614463: 45.15176110304862}"
27,27,648794,"{648794: 232.82360843152955, 637063: 79.03716812749796, 649816: 75.32150820511708, 654901: 73.98034781256476, 637055: 72.26815127375802, 635828: 71.64219461696973, '637063': 71.35145897651388, 445201: 70.50183134106457, 280550: 69.7412259427112, 445835: 69.37578118188527, 282922: 68.82649833764249, 322421: 68.62901089697249, 405931: 68.41497113268787, 643133: 67.59987555970487, 432771: 66.98711376257425}"
28,28,648805,"{648805: 107.9924746064131, 644430: 60.02811943046987, 594441: 57.49493998649731, 620624: 56.16778517505914, '597909': 54.656181654861534, 593317: 54.62941268328205, 644882: 53.45245722485578, 702004: 52.51220845728665, 651442: 52.12805971787877, 310406: 51.492250563557974, 280101: 51.490491804907215, 626548: 51.156823389366295, 622809: 50.26001149573006, 248433: 50.03602781535917, 262075: 49.92671344813397}"
29,29,648807,"{648807: 84.59360801310696, 621353: 45.5813365723985, 535909: 44.1470645200714, 645455: 44.10452844032779, 309257: 43.962136400121445, 649606: 43.915867065519194, 421240: 43.33528373196027, 648532: 42.853221481595085, 406012: 42.80309906193973, 553919: 42.55894175876957, 541935: 42.36863891621509, 269681: 42.248138642826675, 552045: 41.713384735483054, 656562: 41.3279667577602, '635738': 41.210547724379495}"
30,30,648820,"{648820: 113.34271277180062, 632077: 33.16911162042513, 582954: 32.93214287815021, 738434: 29.256500351526977, 728591: 29.00742884767376, 604030: 28.74500909553115, 684477: 27.904384091275958, 863667: 27.70423591507955, 630102: 27.46169535932286, 299921: 27.291311219924605, 606435: 26.338353018536225, 458696: 26.222987810515995, '628645': 26.12508616312465, 645630: 26.063323295488907, 876313: 25.886816679721537}"
31,31,648855,"{648855: 117.68309736791899, 648763: 57.539944160572205, 428799: 51.17616787857475, 646424: 49.09148305157423, 571784: 47.635598503778, 648767: 46.5098837777946, 649955: 45.913700829227835, 650498: 45.414042834740414, 656889: 45.30100348417858, 251508: 45.29579883467664, 658992: 44.89950099799252, '426712': 44.66994017934506, 648939: 44.66994017934506, 593382: 44.27185398450163, 551992: 44.18911982967726}"
