,original,duplicate
0,647793,"{647793: 123.45419453764737, 296124: 53.228161530329295, 650458: 53.04662772715663, 628934: 52.91922123623804, 732935: 52.147426913807315}"
1,647874,"{647874: 125.37650803213629, 647677: 66.24256829869255, 492743: 65.14727417007643, 506498: 63.45354070124822, 477478: 63.21566489480813}"
2,647921,"{647921: 138.2071957687618, 645470: 60.87957603230502, 644923: 58.9984027010962, 407591: 57.03709946066048, 638422: 54.36634444664284}"
3,647943,"{647943: 146.4449701180958, 779877: 61.62261909435788, 612941: 59.01196459338558, 409307: 58.694653112274636, 418978: 57.357454343231275}"
4,647963,"{647963: 118.63544239439737, 644979: 60.42131075151556, 644957: 55.54998779400632, 635583: 55.37037086921666, 636938: 53.878518809999264}"
5,647969,"{647969: 123.08324161381638, 314188: 48.46959536052138, 644193: 47.6359369670115, 647716: 47.60357969403352, 322460: 47.428343962188436}"
6,647992,"{647992: 66.29638232696351, 461338: 48.78067634442329, 667276: 48.58656054184804, 453625: 48.09775130078545, 246003: 47.98747460859515}"
7,647999,"{647999: 210.72035344200592, 246372: 60.15514488802088, 286022: 59.77577077072267, 647808: 58.830168926352854, 575260: 58.65047323144449}"
8,648042,"{648042: 183.5283029682119, 497792: 71.88485248149492, 331362: 71.01666555438611, 383058: 67.62222878528031, 263280: 67.45625746205758}"
9,648189,"{648189: 343.7315281945108, 649411: 262.9422389608673, 647113: 259.3685669607715, 595690: 225.49916776055323, 558082: 222.80544781485813}"
10,648221,"{648221: 110.11017557836298, 542745: 60.45512405876223, 497025: 60.397453771740935, 635567: 59.5846185023134, 460150: 58.40740129268295}"
11,648237,"{648237: 142.39604450335298, 648247: 80.55866444262792, 648243: 69.13656267766075, 657319: 67.09835471859077, 657312: 63.0777986416834}"
12,648238,"{648238: 110.44215520184973, 631192: 63.49729632886987, 631884: 56.77474140070173, 608090: 53.88326326049335, 645216: 52.17648118443019}"
13,648279,"{648279: 119.33769363473215, 310429: 53.87386885400995, 663618: 53.26209938573857, 370520: 52.78746248320204, 258525: 52.68483951159336}"
14,648285,"{648285: 126.25230347295464, 476868: 58.63138417181848, 246760: 55.03970455935046, 596244: 55.00622819492576, 303444: 54.44053867023016}"
15,648352,"{648352: 142.3473170458876, 623965: 68.58838124724247, 338682: 64.122429907921, 259296: 64.06614777111469, 246080: 63.55265894507582}"
16,648497,"{648497: 87.37887683069998, 837579: 58.9903597966581, 613826: 56.48503914058545, 640823: 55.7881402279581, 259430: 55.16321322580802}"
17,648513,"{648513: 108.53865047663447, 294929: 64.12937155437554, 301602: 61.85274957222633, 562895: 60.69506465963578, 578886: 59.745955564538505}"
