,Unnamed: 0,original,duplicate
0,0,647793,"{647793: 123.45419453764737, 296124: 53.228161530329295, 650458: 53.04662772715663, 628934: 52.91922123623804, 732935: 52.147426913807315, 654029: 51.484561667090254, 664980: 51.39774223336445, 655471: 51.13954151523107, 485978: 50.99516762321212, 648221: 50.80449133700388, 336762: 50.79667323962069, '636089': 50.77576042603504, 452251: 50.66009054549717, 319094: 50.3861813696179, 358047: 49.87767062186318, 1: 0.9911005683881301, 107127: 0.9845921211943705, 47178: 0.9839574547992054, 23078: 0.9835756737105941, 104482: 0.9834336077868928, 110813: 0.9830938309239641, 111696: 0.9827941720215687, 5105: 0.9812898255150725, 20138: 0.9810462920210372, 108811: 0.9804827238804933, 86232: 0.9803811045773086, 87103: 0.9801385071582573, 33701: 0.9799925335950782, 72102: 0.979985024678185, 99782: 0.9798599817140218}"
1,1,647874,"{647874: 125.37650803213629, 647677: 66.24256829869255, 492743: 65.14727417007643, 506498: 63.45354070124822, 477478: 63.21566489480813, 645020: 62.88271994315524, 642357: 62.354513218939815, 261908: 62.252390611068016, 359783: 62.23141297970536, 630152: 61.82538997377436, 329421: 61.80220160371381, 551989: 61.776280644167535, 248743: 61.771892885445986, 631860: 61.58168329079622, '644268': 61.536196387155975, 36019: 0.9778250012393245, 92930: 0.9727537280412324, 3: 0.972329456063061, 18334: 0.969982097046475, 5776: 0.9689019866956227, 100566: 0.9678491039299918, 47178: 0.967307382628234, 18662: 0.9663789400843549, 48242: 0.9653673412550752, 891: 0.9653411354109238, 46720: 0.9652804962552667, 101413: 0.9650600687018671, 74683: 0.9646311586908412, 103944: 0.9638253615337189, 43041: 0.9637340159899663}"
2,2,647921,"{647921: 138.2071957687618, 645470: 60.87957603230502, 644923: 58.9984027010962, 407591: 57.03709946066048, 638422: 54.36634444664284, 309171: 53.11165366321696, 644926: 53.013565064691264, 362013: 51.34720150556202, 271430: 51.11994842801804, 406077: 51.094657997829884, 651106: 50.990521965253016, 357772: 50.74011451032435, 415754: 50.60130242212807, 573949: 50.4116145676152, 298487: 50.335898748719764, 4: 0.9774074296458259, 38140: 0.9732469781038702, 61579: 0.9729675625690224, 94380: 0.9717358423589301, 111259: 0.9710504255131122, 104134: 0.9708168746892117, 25026: 0.9707528502977925, 96886: 0.9699554427609918, 96482: 0.969921606688075, 19524: 0.9695601565782224, 66249: 0.9695053047827323, 36985: 0.969063518609329, 34835: 0.9686938221462427, 33199: 0.9686540443906699, '643151': 0.9685368339772676}"
3,3,647943,"{647943: 146.4449701180958, '262354': 61.62261909435788, 612941: 59.01196459338558, 409307: 58.694653112274636, 418978: 57.357454343231275, 307267: 57.21641205689029, 434468: 56.956915651854544, 442306: 56.66148707446879, 442531: 56.632863526002, 252437: 56.450657521585086, 467418: 56.38251733186002, 557737: 56.36821828872843, 645536: 56.19297884400807, 647645: 56.19297884400807, 652773: 55.627064350941126, 7482: 0.9798255600302513, 36109: 0.979818395544671, 34725: 0.9790465396873383, 112566: 0.9772811807946629, 93462: 0.9763940112782479, 101390: 0.9762859265811075, 43713: 0.9756578980690784, 72095: 0.9753048632863952, 6696: 0.9750868729630546, 96878: 0.9750747371505997, 73844: 0.9749820900310976, 112739: 0.9749498744422768, 94466: 0.9749104036364664, 80625: 0.974877345579971, 104589: 0.9748010553844054}"
4,4,647963,"{647963: 118.63544239439737, 644979: 60.42131075151556, 644957: 55.54998779400632, 635583: 55.37037086921666, 636938: 53.878518809999264, 648777: 53.6640478091988, 451357: 52.71571472788799, 546036: 51.59910253760378, 576534: 51.29781556948375, 422593: 51.26309403620973, 635586: 51.26169959628318, 453752: 51.23517393186408, 647459: 51.19305306965043, 635815: 51.01965920342353, '635621': 50.92523154847517, 64289: 0.976927466702451, 103154: 0.9765654174677855, 15788: 0.975962674537504, 111823: 0.9757730711109146, 12432: 0.975263960446977, 10743: 0.9749297577442505, 96333: 0.9748543436825856, 97283: 0.974787388457792, 75550: 0.974246382314784, 42391: 0.9742100640375919, 12657: 0.9742022554016102, 29931: 0.9740385321103618, 31571: 0.9740002796114969, 81766: 0.9738434882200213, 95574: 0.9737852465276354}"
5,5,647969,"{647969: 123.08324161381638, 314188: 48.46959536052138, 644193: 47.6359369670115, '644146': 47.60357969403352, 322460: 47.428343962188436, 650654: 47.34410655628421, 322803: 47.26310637153668, 237706: 46.89243257616954, 330401: 46.67992472309306, 458470: 46.407954812569514, 645133: 46.218399149114944, 306180: 46.14600184361224, 502338: 45.83241764255858, 640526: 45.80090534250734, 652981: 45.67646878668594, 49984: 0.9723218911006662, 109566: 0.9717104807219477, 105394: 0.97118869579143, 64506: 0.9704467698484279, 114495: 0.9701381203278906, 441: 0.9697428102213095, 100194: 0.969733651705605, 69083: 0.9694924595596893, 73847: 0.9691282689151001, 104329: 0.9688759201129256, 105253: 0.9686698002942583, 99470: 0.9685738861616756, 81396: 0.968569206307325, 80864: 0.9684614337994218, 114086: 0.9683188407423536}"
6,6,647992,"{647992: 66.29638232696351, 461338: 48.78067634442329, 667276: 48.58656054184804, 453625: 48.09775130078545, 246003: 47.98747460859515, 594831: 47.81269662106532, 401882: 47.41751075325281, 269204: 47.306353021180875, 594447: 46.77279574771948, 453788: 46.66210713816166, 444459: 46.159082401993054, 235709: 46.035172937051414, 438273: 45.89182892770788, 393533: 45.88445767774179, 445095: 45.67414235983491, 102060: 0.9854965413151784, 2781: 0.9853912911995224, 48240: 0.984804581995563, 69068: 0.9846806383656929, 45202: 0.9845609450570325, 36333: 0.9844524122350291, 46720: 0.9843517567362873, 102780: 0.9843213532389905, 107243: 0.9842691331522112, 41254: 0.9841970230336256, 46872: 0.9841752315088721, 106820: 0.9839428509072883, 100566: 0.9839206700063656, '644460': 0.9838482454225054, 47178: 0.9837530684237434}"
7,7,647999,"{647999: 210.72035344200592, 246372: 60.15514488802088, 286022: 59.77577077072267, 647808: 58.830168926352854, 575260: 58.65047323144449, 626652: 58.03656739629341, 358179: 57.67175061184662, 213202: 57.12831465632155, 270530: 57.100601210899285, 306126: 56.58328906872254, 258985: 56.349305690300426, 525289: 56.34666983119455, 356944: 56.19844322291122, 561345: 55.946408036342696, 237704: 55.9146815383949, 28776: 0.9672846658769674, 62846: 0.9671325650092387, 36017: 0.9664280117241131, 28775: 0.9645968655777062, '612273': 0.9645376711250816, 58436: 0.9640130071624624, 37606: 0.9631507503719684, 66248: 0.9624002908171662, 4844: 0.9623903682500418, 106773: 0.961789161127701, 108536: 0.9617877346864059, 82729: 0.961692414024484, 33068: 0.9615250078201635, 32651: 0.9615003415363743, 109016: 0.9614596957655833}"
8,8,648042,"{648042: 183.5283029682119, 497792: 71.88485248149492, 331362: 71.01666555438611, 383058: 67.62222878528031, '640174': 67.45625746205758, 493288: 66.72346792333663, 831143: 66.52184691059631, 284985: 66.20163444383653, 689697: 66.09599752781425, 807291: 65.98524963774156, 629744: 65.91953552267559, 454000: 65.84301355481482, 394697: 65.60332975325412, 583660: 65.59105677648353, 441510: 64.51762692377719, 65687: 0.9645856543627064, 101759: 0.961747290648223, 48003: 0.9598576352967361, 52241: 0.9596917839669936, 97508: 0.9591301551627751, 26016: 0.9587833015218914, 98884: 0.9577219447609644, 108621: 0.9576462571123812, 94819: 0.9575683946640121, 16292: 0.9573797500122816, 97946: 0.957284071184997, 110946: 0.9572705740471003, 111950: 0.9570676944337677, 79812: 0.9570098778887143, 31466: 0.9568964519044246}"
9,9,648189,"{648189: 343.7315281945108, 649411: 262.9422389608673, 647113: 259.3685669607715, 595690: 225.49916776055323, 558082: 222.80544781485813, 476492: 214.4505015005922, 581142: 209.00775667987037, 439736: 202.93668401948221, 550073: 197.90331900641294, 418826: 195.66992096058192, 444336: 194.43709774101956, 640776: 194.28126721644688, 430945: 192.72085664580146, 494333: 190.38944909565254, 533632: 189.0704098942682, 30913: 0.9402155022351155, 19: 0.9372933712874337, 105950: 0.9359793736875464, 10466: 0.9348278564939867, 47068: 0.9332186449119435, 69591: 0.9330654280492452, 36630: 0.9324403771154061, 112727: 0.9321749622088779, 83873: 0.9316393097330081, 16482: 0.9304209991642244, '644146': 0.9296639798225622, 102617: 0.9293047236653305, 31449: 0.9293018826321516, 32754: 0.9290730370907582, 96819: 0.9288623594081853}"
