,Unnamed: 0,original,duplicate
0,0,647793,"{1: 0.9911005683881301, 107127: 0.9845921211943705, 47178: 0.9839574547992054, 23078: 0.9835756737105941, 104482: 0.9834336077868928, 110813: 0.9830938309239641, 111696: 0.9827941720215687, 5105: 0.9812898255150725, 20138: 0.9810462920210372, 108811: 0.9804827238804933, 86232: 0.9803811045773086, 87103: 0.9801385071582573, '644039': 0.9799925335950782, 72102: 0.979985024678185, 99782: 0.9798599817140218}"
1,1,647874,"{36019: 0.9778250012393245, 92930: 0.9727537280412324, 3: 0.972329456063061, 18334: 0.969982097046475, 5776: 0.9689019866956227, 100566: 0.9678491039299918, 47178: 0.967307382628234, 18662: 0.9663789400843549, 48242: 0.9653673412550752, 891: 0.9653411354109238, '647677': 0.9652804962552667, 101413: 0.9650600687018671, 74683: 0.9646311586908412, 103944: 0.9638253615337189, 43041: 0.9637340159899663}"
2,2,647921,"{4: 0.9774074296458259, 38140: 0.9732469781038702, 61579: 0.9729675625690224, 94380: 0.9717358423589301, 111259: 0.9710504255131122, 104134: 0.9708168746892117, 25026: 0.9707528502977925, 96886: 0.9699554427609918, 96482: 0.969921606688075, 19524: 0.9695601565782224, '644923': 0.9695053047827323, 36985: 0.969063518609329, 34835: 0.9686938221462427, 33199: 0.9686540443906699, 12176: 0.9685368339772676}"
3,3,647943,"{7482: 0.9798255600302513, 36109: 0.979818395544671, '411149': 0.9790465396873383, 112566: 0.9772811807946629, 93462: 0.9763940112782479, 101390: 0.9762859265811075, 43713: 0.9756578980690784, 72095: 0.9753048632863952, 6696: 0.9750868729630546, 96878: 0.9750747371505997, 73844: 0.9749820900310976, 112739: 0.9749498744422768, 94466: 0.9749104036364664, 80625: 0.974877345579971, 104589: 0.9748010553844054}"
4,4,647963,"{64289: 0.976927466702451, 103154: 0.9765654174677855, '635718': 0.975962674537504, 111823: 0.9757730711109146, 12432: 0.975263960446977, 10743: 0.9749297577442505, 96333: 0.9748543436825856, 97283: 0.974787388457792, 75550: 0.974246382314784, 42391: 0.9742100640375919, 12657: 0.9742022554016102, 29931: 0.9740385321103618, 31571: 0.9740002796114969, 81766: 0.9738434882200213, 95574: 0.9737852465276354}"
5,5,647969,"{49984: 0.9723218911006662, 109566: 0.9717104807219477, 105394: 0.97118869579143, 64506: 0.9704467698484279, 114495: 0.9701381203278906, 441: 0.9697428102213095, 100194: 0.969733651705605, 69083: 0.9694924595596893, 73847: 0.9691282689151001, 104329: 0.9688759201129256, '644193': 0.9686698002942583, 99470: 0.9685738861616756, 81396: 0.968569206307325, 80864: 0.9684614337994218, 114086: 0.9683188407423536}"
6,6,647992,"{102060: 0.9854965413151784, '594831': 0.9853912911995224, 48240: 0.984804581995563, 69068: 0.9846806383656929, 45202: 0.9845609450570325, 36333: 0.9844524122350291, 46720: 0.9843517567362873, 102780: 0.9843213532389905, 107243: 0.9842691331522112, 41254: 0.9841970230336256, 46872: 0.9841752315088721, 106820: 0.9839428509072883, 100566: 0.9839206700063656, 113639: 0.9838482454225054, 47178: 0.9837530684237434}"
7,7,647999,"{28776: 0.9672846658769674, 62846: 0.9671325650092387, '612221': 0.9664280117241131, 28775: 0.9645968655777062, 2840: 0.9645376711250816, 58436: 0.9640130071624624, 37606: 0.9631507503719684, 66248: 0.9624002908171662, 4844: 0.9623903682500418, 106773: 0.961789161127701, 108536: 0.9617877346864059, 82729: 0.961692414024484, 33068: 0.9615250078201635, 32651: 0.9615003415363743, 109016: 0.9614596957655833}"
8,8,648042,"{65687: 0.9645856543627064, 101759: 0.961747290648223, 48003: 0.9598576352967361, 52241: 0.9596917839669936, 97508: 0.9591301551627751, 26016: 0.9587833015218914, 98884: 0.9577219447609644, 108621: 0.9576462571123812, 94819: 0.9575683946640121, 16292: 0.9573797500122816, '625776': 0.957284071184997, 110946: 0.9572705740471003, 111950: 0.9570676944337677, 79812: 0.9570098778887143, 31466: 0.9568964519044246}"
9,9,648189,"{30913: 0.9402155022351155, 19: 0.9372933712874337, 105950: 0.9359793736875464, 10466: 0.9348278564939867, 47068: 0.9332186449119435, 69591: 0.9330654280492452, 36630: 0.9324403771154061, 112727: 0.9321749622088779, 83873: 0.9316393097330081, 16482: 0.9304209991642244, '640526': 0.9296639798225622, 102617: 0.9293047236653305, 31449: 0.9293018826321516, 32754: 0.9290730370907582, 96819: 0.9288623594081853}"
