,Unnamed: 0.1,Unnamed: 0,original,duplicate
0,0,0,647793,"{1: 0.9961197688289597, 48934: 0.9943197720082262, 53225: 0.9935157947515568, '643785': 0.9933858325324199, '628264': 0.9931630298099002}"
1,1,1,647874,"{3: 0.9869437737622117, 92125: 0.982365143709725, '644965': 0.9820210093330934, '636806': 0.9810103076812523, 47317: 0.9808801000253129}"
2,2,2,647921,"{'634159': 0.9883377675932653, 70678: 0.9881588074683965, 113853: 0.987908403199647, 51737: 0.986305639241999}"
3,3,3,647943,"{'314533': 0.9874464618570709, 98610: 0.9872222802373735, 34725: 0.9872020533528284, 112146: 0.9871169109819633, 72095: 0.9870891992162125}"
4,4,4,647963,"{60039: 0.9874548906975067, 95552: 0.9861087288122754, '638632': 0.9860670210591783, 64289: 0.9856769522069352, '637029': 0.9847852729489026}"
5,5,5,647969,"{89720: 0.9852221284616585, 38126: 0.9851914015214548, 37516: 0.9851867778009753, '644146': 0.9841403427396302}"
6,6,6,647992,"{87903: 0.9927291525164557, 44785: 0.9922799663106182, '642887': 0.9917556026223521, 15846: 0.9917233900438742, 102415: 0.9914642716146104}"
7,7,7,647999,"{106207: 0.9814535703274702, 66248: 0.9804370218943526, 16553: 0.9803047507799479, '602237': 0.979163472798424, 52972: 0.9787073013966361}"
8,8,8,648042,"{16392: 0.976331851727759, 93078: 0.9758626866278324, '640174': 0.9757675901899828, 22890: 0.9754212785964366, 65687: 0.9750238614957681}"
9,9,9,648189,"{64238: 0.9610829336562501, '644398': 0.9605924871332002, '640955': 0.9595436092427213, 36630: 0.9586694938926382, 112479: 0.9574868773705237}"
10,10,10,648221,"{'614764': 0.9886102362186251, '614741': 0.9865508428831907, 35808: 0.9861996846279673, 80864: 0.9852011072418289, 112265: 0.9846159872374173}"
11,11,11,648237,"{97437: 0.9909716873048857, '634222': 0.987332303688697, 47726: 0.9873414824607876, 95378: 0.9869269090120273}"
12,12,12,648238,"{47179: 0.9897131741829998, 35474: 0.9893146053912754, 111230: 0.9889939025954724, 112568: 0.9888913254109526, '641790': 0.9888267352889353}"
13,13,13,648279,"{'616938': 0.9907905484916045, 101313: 0.989900040214554, 44287: 0.9894060105316618, 32106: 0.9889500753019074, '619472': 0.9889300069509351}"
14,14,14,648285,"{'643259': 0.9878097617360962, 34924: 0.9881571040890789, 91624: 0.9880996134471501, 47583: 0.9876693585415426}"
15,15,15,648352,"{100717: 0.9886199987846267, 32127: 0.9885288073150803, '536554': 0.9876831046232002, '633250': 0.9876317498710347, 10542: 0.9875862962705204}"
16,16,16,648497,"{108950: 0.9932134671689138, 113189: 0.9927040204853715, 84891: 0.9926525937753068, 102537: 0.9922695919723692, '644918': 0.9922479558731464}"
17,17,17,648513,"{80862: 0.98870891996054, '615513': 0.9870427006685961, 64238: 0.9874246362965348, 114518: 0.9870472841154878}"
18,18,18,648602,"{'637323': 0.9867164403643686, 86928: 0.9850823212891355, 89003: 0.9844298934691935, '644906': 0.9841233610530625, 29280: 0.983679438603679}"
19,19,19,648609,"{104678: 0.9771827180044204, 113450: 0.9756878318270377, 89617: 0.9749730539898103, 47000: 0.9746633274123688, '597325': 0.9740136605186308}"
20,20,20,648632,"{90294: 0.9946401387956815, '428462': 0.9928113079705231, 94999: 0.9919902782662761, '607739': 0.9917794551111616, 92157: 0.9917455443530834}"
21,21,21,648682,"{47319: 0.9866139117151641, 60138: 0.9862816415586544, '616752': 0.9853141173190922, 43408: 0.9855298760087309}"
22,22,22,648686,"{30218: 0.9805261014196038, 47306: 0.9794588203170429, '576807': 0.9779854368379587, 82847: 0.9780435017742781}"
23,23,23,648692,"{56886: 0.9807199909067319, 107656: 0.9803774142657988, '561164': 0.9792119443112016, 103195: 0.9793243928302494}"
24,24,24,648713,"{'296594': 0.9827507155716683, '619032': 0.9820468647180163, 87235: 0.982011821352067, 107624: 0.9817266983405382, 72124: 0.9816575312297419}"
25,25,25,648714,"{'603649': 0.9932038616581337, 35474: 0.9924729709074508, '632839': 0.9913364582873349, 104885: 0.9911831964232548, 42226: 0.9908847515549171}"
26,26,26,648763,"{106594: 0.9924864640642365, 101348: 0.9915622463443188, '626158': 0.9913558182228548, '624149': 0.991249696743228, 87903: 0.9909328409664026}"
27,27,27,648794,"{'641156': 0.978562693723553, 103018: 0.9778650038685115, 5805: 0.977270256244772, 5475: 0.9766599158544973, '631236': 0.975516261374804}"
28,28,28,648805,"{55149: 0.9908018637007469, 1: 0.9904544341084919, '597909': 0.9902593558657121, 87903: 0.9902380528679994, '598510': 0.9902322461406123}"
29,29,29,648807,"{95933: 0.9921903279168701, '635738': 0.9913327151216696, 105982: 0.9913756697277214, 107703: 0.9910001603526696}"
30,30,30,648820,"{'628645': 0.9910389483514249, 40831: 0.9909190408331662, 107570: 0.9906380987582462, 34728: 0.990229545263953}"
31,31,31,648855,"{111472: 0.9885877626632139, 98302: 0.9883115187926954, '426713': 0.987773333050786, 94832: 0.987565986836505}"
32,32,32,648859,"{'604542': 0.9863550638032359, 113252: 0.9877326999725097, 111194: 0.9868293300320876, 102415: 0.9864143604749975}"
